"Wavelength, µm","n","k"
0.5731,4.6859,0.37601
0.5733,4.6825,0.37272
0.5736,4.6769,0.36965
0.5738,4.6712,0.3671
0.574,4.6633,0.36573
0.5743,4.6576,0.36254
0.5745,4.6497,0.3596
0.5747,4.6417,0.35725
0.5749,4.6315,0.35625
0.5752,4.6236,0.35383
0.5754,4.6156,0.35268
0.5756,4.61,0.34988
0.5759,4.602,0.34779
0.5761,4.5941,0.34738
0.5763,4.5884,0.34639
0.5765,4.5828,0.344
0.5768,4.5771,0.34283
0.577,4.5692,0.33998
0.5772,4.5612,0.33765
0.5775,4.5533,0.33654
0.5777,4.5476,0.33376
0.5779,4.5397,0.33156
0.5781,4.5317,0.33079
0.5784,4.5238,0.32886
0.5786,4.5159,0.32874
0.5788,4.5079,0.32842
0.5791,4.5,0.32763
0.5793,4.4943,0.32562
0.5795,4.4864,0.32528
0.5797,4.4785,0.32442
0.58,4.4728,0.32225
0.5802,4.4671,0.3215
0.5804,4.4637,0.3196
0.5806,4.458,0.31952
0.5809,4.4501,0.31932
0.5811,4.4444,0.31879
0.5813,4.4388,0.31745
0.5816,4.4308,0.31879
0.5818,4.4252,0.31746
0.582,4.415,0.31879
0.5822,4.407,0.31747
0.5825,4.3991,0.31882
0.5827,4.3912,0.31754
0.5829,4.3832,0.319
0.5832,4.3753,0.318
0.5834,4.3628,0.32022
0.5836,4.3526,0.32109
0.5838,4.3424,0.3233
0.5841,4.3345,0.32416
0.5843,4.3265,0.32634
0.5845,4.3186,0.32711
0.5848,4.3107,0.32905
0.585,4.305,0.3292
0.5852,4.2993,0.32957
0.5854,4.2914,0.33053
0.5857,4.2812,0.33293
0.5859,4.271,0.33419
0.5861,4.2608,0.33738
0.5864,4.2506,0.34053
0.5866,4.2404,0.34362
0.5868,4.2302,0.34654
0.587,4.22,0.34903
0.5873,4.2098,0.3504
0.5875,4.1995,0.35373
0.5877,4.1871,0.35712
0.588,4.1769,0.36052
0.5882,4.1667,0.36395
0.5884,4.1565,0.36744
0.5887,4.1485,0.37108
0.5889,4.1406,0.37504
0.5891,4.1304,0.37973
0.5893,4.1247,0.38135
0.5896,4.1145,0.38513
0.5898,4.1043,0.38917
0.59,4.0941,0.39379
0.5903,4.0816,0.3997
0.5905,4.0714,0.40382
0.5907,4.0612,0.40855
0.5909,4.0488,0.41445
0.5912,4.0385,0.41839
0.5914,4.0283,0.42248
0.5916,4.0159,0.4269
0.5919,4.0034,0.43197
0.5921,3.9887,0.43828
0.5923,3.9762,0.44269
0.5925,3.9637,0.44754
0.5928,3.9512,0.45329
0.593,3.9388,0.46094
0.5932,3.9286,0.46781
0.5935,3.9206,0.47298
0.5937,3.9104,0.47907
0.5939,3.9002,0.48605
0.5941,3.89,0.49362
0.5944,3.8798,0.5012
0.5946,3.8673,0.50755
0.5948,3.8549,0.51479
0.5951,3.8401,0.52491
0.5953,3.8277,0.53511
0.5955,3.8129,0.54532
0.5957,3.7982,0.55552
0.596,3.7834,0.56572
0.5962,3.7687,0.5782
0.5964,3.7517,0.59067
0.5967,3.7347,0.60314
0.5969,3.7177,0.61561
0.5971,3.7029,0.62808
0.5974,3.6859,0.64282
0.5976,3.6667,0.65756
0.5978,3.6474,0.6723
0.598,3.6304,0.68704
0.5983,3.6134,0.70178
0.5985,3.5964,0.71652
0.5987,3.5771,0.73352
0.599,3.5601,0.75053
0.5992,3.5431,0.76981
0.5994,3.5261,0.78908
0.5996,3.5091,0.81062
0.5999,3.4921,0.83216
0.6001,3.4751,0.85597
0.6003,3.458,0.87978
0.6006,3.4388,0.90586
0.6008,3.4195,0.93194
0.601,3.4025,0.95801
0.6013,3.3832,0.98636
0.6015,3.3639,1.017
0.6017,3.3447,1.0476
0.6019,3.3254,1.0805
0.6022,3.3084,1.1133
0.6024,3.2914,1.1485
0.6026,3.2744,1.1859
0.6029,3.2574,1.2233
0.6031,3.2404,1.263
0.6033,3.2234,1.3072
0.6035,3.2086,1.3514
0.6038,3.1916,1.4002
0.604,3.1769,1.4489
0.6042,3.1621,1.5022
0.6045,3.1497,1.5578
0.6047,3.1395,1.6156
0.6049,3.1293,1.6757
0.6052,3.119,1.7403
0.6054,3.1134,1.8027
0.6056,3.11,1.8696
0.6058,3.1088,1.9365
0.6061,3.11,2.0056
0.6063,3.1134,2.0748
0.6065,3.1213,2.144
0.6068,3.1315,2.2131
0.607,3.144,2.2845
0.6072,3.161,2.356
0.6075,3.1803,2.4274
0.6077,3.2041,2.4966
0.6079,3.2324,2.5635
0.6081,3.263,2.6281
0.6084,3.3005,2.6882
